episode,total_reward,steps,success,collision,timeout,distance_to_target,parking_accuracy,exploration_rate,timestamp
1,-34.74391297924676,200,False,False,True,11.096664744530829,0.0,0.9128907309623506,1748939244.0882533
2,-2.671929233349133,200,False,False,True,11.941965471885498,0.0,0.8334461333916443,1748939245.2891912
3,-3.0518753702781782,200,False,False,True,2.775763279211102,0.0,0.7609917992788919,1748939246.5435257
4,-60.615164162170075,200,False,False,True,23.076946858165734,0.0,0.6949126612097472,1748939247.7602787
5,-12.09625876372681,200,False,False,True,11.162064779138992,0.0,0.6346477710353913,1748939249.051781
6,-26.136220755119982,200,False,False,True,12.179611823007747,0.0,0.5796855379637854,1748939250.3603153
7,-59.01559197035006,200,False,False,True,23.857824352700323,0.0,0.5295593856472749,1748939251.7046723
8,-39.37880005515461,200,False,False,True,11.975206355397864,0.0,0.48384379139941197,1748939253.0908217
9,41.108045953680374,200,False,False,True,10.592872986493655,0.0,0.44215067391776436,1748939254.4888
10,-15.537643295534243,200,False,False,True,12.545433930513767,0.0,0.4041260988479623,1748939255.9159126
