episode,total_reward,steps,success,collision,timeout,distance_to_target,parking_accuracy,exploration_rate,timestamp
1,-14.024587282712663,200,False,False,True,11.507555727999048,0.0,0.9128907309623506,1748939622.54578
2,-46.51543957366167,200,False,False,True,11.904947928675242,0.0,0.8334461333916443,1748939623.6651304
3,63.869066868827765,200,False,False,True,14.772616035692351,0.0,0.7609917992788919,1748939624.7967243
4,-37.303620565791505,200,False,False,True,29.14697255915239,0.0,0.6949126612097472,1748939625.9937966
5,-83.81956729378894,133,False,True,False,6.338237343364193,0.0,0.6346477710353913,1748939626.8541908
6,-38.23429344467978,200,False,False,True,14.02459829048957,0.0,0.5796855379637854,1748939628.2853625
7,-64.24922598987729,200,False,False,True,20.998978572737883,0.0,0.5295593856472749,1748939629.9097142
8,2.2295122827333556,200,False,False,True,7.285186994310363,0.0,0.48384379139941197,1748939631.2131257
9,-30.523554892012935,200,False,False,True,17.98059173044111,0.0,0.44215067391776436,1748939632.6334863
10,-7.080662149890368,200,False,False,True,16.868201642527676,0.0,0.4041260988479623,1748939634.025329
11,-68.19633929059778,200,False,False,True,16.78260728998508,0.0,0.36944727422240037,1748939635.487519
12,-60.89502723877233,200,False,False,True,28.53703138103939,0.0,0.33781981026776525,1748939636.841758
13,-100.14740255963177,87,False,True,False,18.17901517883991,0.0,0.3089752203197996,1748939637.4740548
14,-35.66153102118881,200,False,False,True,9.63253572140188,0.0,0.28266864163047845,1748939638.807198
15,61.553598562598346,200,False,False,True,11.784854667128684,0.0,0.25867675671944845,1748939640.1607227
16,-36.02492110203084,200,False,False,True,22.099912437047017,0.0,0.23679589762400954,1748939641.549956
17,-89.16726133638332,52,False,True,False,11.109826450272852,0.0,0.21684031695454992,1748939641.8893414
18,-82.5474233695983,101,False,True,False,7.80268369548321,0.0,0.19864061107836153,1748939642.621014
19,-82.15230485293476,46,False,True,False,8.508467538291708,0.0,0.1820422820461882,1748939642.9421031
20,-63.21779609421189,200,False,False,True,16.09925077620579,0.0,0.16690442605365027,1748939644.246557
21,45.03915074603134,200,False,False,True,21.08910339501433,0.0,0.15309853730384687,1748939646.6809428
22,-98.21051539497736,20,False,True,False,14.216429958954443,0.0,0.1405074171170843,1748939646.8162806
23,-87.21617222266916,39,False,True,False,8.962876362141444,0.0,0.1290241790271239,1748939647.0716295
24,-93.23924427887032,28,False,True,False,11.033219504631145,0.0,0.11855134141817535,1748939647.2666473
25,44.77540864664826,200,False,False,True,6.989405955589131,0.0,0.10900000000000001,1748939648.6401682
26,37.00073420627126,174,False,True,False,8.239558052653884,0.0,0.10028907309623508,1748939649.86251
27,207.3246800447628,200,False,False,True,11.293250180415683,0.0,0.09234461333916444,1748939651.254891
28,-156.05225818325172,200,False,False,True,36.84507906640722,0.0,0.08509917992788919,1748939652.6089323
29,-106.25625967150125,73,False,True,False,24.698013081085332,0.0,0.07849126612097473,1748939653.1159618
30,-109.97335166711018,182,False,True,False,24.403192936291237,0.0,0.07246477710353914,1748939654.3851635
31,-99.89351554506248,44,False,True,False,35.202155831343255,0.0,0.06696855379637855,1748939654.69296
32,-113.36468736215203,165,False,True,False,8.413724238465504,0.0,0.0619559385647275,1748939655.8066437
33,-63.58750567019692,200,False,False,True,28.957389311898297,0.0,0.05738437913994121,1748939657.1749666
34,114.47819213462539,200,False,False,True,1.3031470384835275,0.0,0.05321506739177644,1748939658.5869656
