episode,total_reward,steps,success,collision,timeout,distance_to_target,parking_accuracy,exploration_rate,timestamp
1,-43.908674210840765,200,False,False,True,13.771576708481694,0.0,0.9964492203152043,1748942695.3747208
2,-81.29205332495923,200,False,False,True,29.44032656037836,0.0,0.9929117122476404,1748942705.6602166
3,-49.511520935691905,200,False,False,True,33.80660374453568,0.0,0.9893874261924775,1748942716.9137902
4,-120.21668351770114,137,False,True,False,33.627570294027564,0.0,0.9858763127302915,1748942725.295209
5,-76.70178991595964,200,False,False,True,17.34795234411534,0.0,0.9823783226263714,1748942737.519615
6,-30.03679353171013,200,False,False,True,34.72168992578693,0.0,0.9788934068300288,1748942749.7506425
7,-24.189288445181813,200,False,False,True,10.266623559369066,0.0,0.9754215164739103,1748942761.9804964
8,-58.724805497756456,200,False,False,True,21.3889737463561,0.0,0.971962602873312,1748942774.1939147
9,-37.71493299562169,200,False,False,True,14.868003486389455,0.0,0.9685166175254974,1748942786.4275596
10,-59.498826949047,200,False,False,True,28.586864943344295,0.0,0.9650835121090168,1748942798.6649368
11,-23.094513357207912,200,False,False,True,14.516211650255034,0.0,0.9616632384830293,1748942810.9259968
12,-65.1548061826039,200,False,False,True,31.053860197014014,0.0,0.9582557486866288,1748942823.1640437
13,-64.15276245681983,200,False,False,True,35.08824367810626,0.0,0.9548609949381707,1748942835.4286666
14,-31.325345695360127,200,False,False,True,19.3743675921751,0.0,0.9514789296346018,1748942847.6513126
